Year	Mode	Count
2024	Bike	77
2024	Ped	204
2024	Bike	245
2024	Ped	377
2024	Bike	214
2024	Ped	544
2024	Bike	236
2024	Ped	723
2024	Bike	160
2024	Ped	275
2024	Bike	203
2024	Ped	505
2024	Bike	91
2024	Ped	199
2024	Bike	181
2024	Ped	273
2024	Bike	39
2024	Ped	129
2024	Bike	49
2024	Ped	276
2024	Bike	124
2024	Ped	192
2024	Bike	144
2024	Ped	258
2024	Bike	202
2024	Ped	293
2024	Bike	258
2024	Ped	418
2024	Bike	302
2024	Ped	344
2024	Bike	286
2024	Ped	487
2024	Bike	174
2024	Ped	309
2024	Bike	209
2024	Ped	432
2024	Bike	82
2024	Ped	131
2024	Bike	139
2024	Ped	405
2024	Bike	77
2024	Ped	311
2024	Bike	145
2024	Ped	396
2024	Bike	44
2024	Ped	89
2024	Bike	43
2024	Ped	141
2024	Bike	349
2024	Ped	289
2024	Bike	430
2024	Ped	457
2024	Bike	306
2024	Ped	237
2024	Bike	509
2024	Ped	356
2024	Bike	345
2024	Ped	233
2024	Bike	402
2024	Ped	492
2024	Bike	64
2024	Ped	329
2024	Bike	115
2024	Ped	622
2024	Bike	239
2024	Ped	340
2024	Bike	292
2024	Ped	626
2024	Bike	114
2024	Ped	249
2024	Bike	69
2024	Ped	240
2024	Bike	79
2024	Ped	148
2024	Bike	115
2024	Ped	196
2024	Bike	24
2024	Ped	252
2024	Bike	45
2024	Ped	185
2024	Bike	50
2024	Ped	117
2024	Bike	64
2024	Ped	334
2024	Bike	22
2024	Ped	155
2024	Bike	31
2024	Ped	139
2024	Bike	33
2024	Ped	80
2024	Bike	83
2024	Ped	195
2024	Bike	138
2024	Ped	185
2024	Bike	190
2024	Ped	224
2024	Bike	69
2024	Ped	229
2024	Bike	34
2024	Ped	257
2024	Bike	39
2024	Ped	236
2024	Bike	66
2024	Ped	456
2024	Bike	60
2024	Ped	337
2024	Bike	78
2024	Ped	419
2024	Bike	60
2024	Ped	231
2024	Bike	80
2024	Ped	467
2024	Bike	84
2024	Ped	72
2024	Bike	100
2024	Ped	158
2024	Bike	114
2024	Ped	158
2024	Bike	204
2024	Ped	362
2024	Bike	11
2024	Ped	116
2024	Bike	15
2024	Ped	139
2024	Bike	61
2024	Ped	164
2024	Bike	57
2024	Ped	221
2024	Bike	39
2024	Ped	179
2024	Bike	54
2024	Ped	158
2024	Bike	117
2024	Ped	453
2024	Bike	95
2024	Ped	265
2024	Bike	415
